   20       102               6.638               6.700         1661952.405
   40       305              40.247              41.133         1639128.550
   60       282              55.720              56.883         1636543.148
   80       295              77.948              80.267         1635712.527
  100       202              66.415              67.500         1637090.902
  120       236              93.599              97.617         1636553.746
  140       226             104.775             106.650         1636542.313
  160       229             121.763             124.233         1637548.999
  180       236             141.045             143.633         1637213.373
  200       208             135.593             136.933         1637912.501
    5        52               0.850               0.867         1721728.684
   25       245              20.326              20.717         1647294.326
   45       264              38.790              39.533         1640338.248
   65       279              59.493              60.367         1636424.561
   85       272              75.768              78.433         1636283.486
  105       271              93.288              95.233         1637327.137
  125       189              78.036              81.283         1637253.571
  145       240             115.023             116.417         1636947.453
  165       230             125.411             127.917         1637228.674
  185       228             139.650             142.800         1637945.553
   10       202               6.414               6.517         1680209.370
   30       261              25.798              26.417         1643303.110
   50       298              48.607              49.383         1636867.639
   70       297              67.763              68.433         1635681.621
   90       295              86.856              89.017         1636106.956
  110       261              94.829              99.133         1636143.437
  130       230              98.983             100.083         1637194.022
  150       226             112.236             114.333         1637102.863
  170       249             140.881             144.050         1636831.348
  190       225             140.884             143.317         1637431.379
   15       243              11.481              11.850         1661857.366
   35       306              35.202              36.083         1641235.660
   55       267              47.845              48.417         1638272.284
   75       218              53.452              54.133         1637415.744
   95       239              74.724              76.217         1636798.820
  115       236              89.382              93.050         1636516.081
  135       220              97.582             100.550         1636740.886
  155       257             131.564             134.617         1636687.911
  175       230             133.497             135.950         1637410.915
  195       266             168.983             170.633         1637411.310
